Description,Valence Mean,Arousal Mean,Dominance Mean,People Counter
pardon,4.5,4.5,4.5,1
knelt,4.5,4.5,4.5,1
sleek,4.5,4.5,4.5,1
hath,4.5,4.5,4.5,1
captain,4.5,4.5,4.5,1
lace,4.5,4.5,4.5,1
scold,4.5,4.5,4.5,1
bludgeon,4.5,4.5,4.5,1
lord,4.5,4.5,4.5,1
hedg,4.5,4.5,4.5,1
merchant,4.5,4.5,4.5,1
everi,4.5,4.5,4.5,1
risk,4.5,4.5,4.5,1
rise,4.5,4.5,4.5,1
voic,4.5,4.5,4.5,1
jack,4.5,4.5,4.5,1
govern,4.5,4.5,4.5,1
appar,4.5,4.5,4.5,1
vast,4.5,4.5,4.5,1
chapel,4.5,4.5,4.5,1
knowest,4.5,4.5,4.5,1
prize,4.5,4.5,4.5,1
parrot,4.5,4.5,4.5,1
solid,4.5,4.5,4.5,1
whirlwind,4.5,4.5,4.5,1
enjoy,4.5,4.5,4.5,1
nigh,4.5,4.5,4.5,1
direct,4.5,4.5,4.5,1
sabbath,4.5,4.5,4.5,1
horn,4.5,4.5,4.5,1
nail,4.5,4.5,4.5,1
hors,4.5,4.5,4.5,1
valiant,4.5,4.5,4.5,1
illumin,4.5,4.5,4.5,1
even,4.5,4.5,4.5,1
amus,4.5,4.5,4.5,1
decre,4.5,4.5,4.5,1
spokesman,4.5,4.5,4.5,1
conduct,4.5,4.5,4.5,1
new,4.5,4.5,4.5,1
told,4.5,4.5,4.5,1
crouch,4.5,4.5,4.5,1
herb,4.5,4.5,4.5,1
never,4.5,4.5,4.5,1
lodg,4.5,4.5,4.5,1
drew,4.5,4.5,4.5,1
met,4.5,4.5,4.5,1
china,4.5,4.5,4.5,1
path,4.5,4.5,4.5,1
chink,4.5,4.5,4.5,1
strewn,4.5,4.5,4.5,1
daughter,4.5,4.5,4.5,1
smoke,4.5,4.5,4.5,1
studi,4.5,4.5,4.5,1
cormoran,4.5,4.5,4.5,1
plashfrom,4.5,4.5,4.5,1
legitim,4.5,4.5,4.5,1
